"","X.1","X","...1","a.benefit.v","a.benefit.p","a.side_effect.v","a.side_effect.p","b.benefit.v","b.benefit.p","b.side_effect.v","b.side_effect.p","EU.a","EU.b","EU.ratio"
"1",1,2,2,2,0.88,4,0.114,2,0.733,2,0.178,1.304,1.11,1.17477477477477
"2",2,3,3,8,0.68,1,0.251,8,0.614,8,0.051,5.189,4.504,1.15208703374778
"3",3,5,5,9,0.905,8,0.074,9,0.709,1,0.205,7.553,6.176,1.22295984455959
"4",4,8,8,3,0.545,9,0.067,3,0.694,10,0.026,1.032,1.822,0.566410537870472
"5",6,10,10,9,0.921,1,0.226,9,0.73,5,0.089,8.063,6.125,1.31640816326531
"6",7,11,11,1,0.644,7,0.02,1,0.914,3,0.14,0.504,0.494,1.02024291497976
"7",8,12,12,2,0.688,4,0.122,2,0.706,10,0.024,0.888,1.172,0.757679180887372
"8",9,13,13,10,0.635,5,0.157,10,0.611,6,0.092,5.565,5.558,1.00125944584383
"9",10,14,14,2,0.511,5,0.049,2,0.778,8,0.054,0.777,1.124,0.691281138790035
"10",11,15,15,2,0.675,1,0.105,2,0.775,4,0.176,1.245,0.846,1.47163120567376
"11",12,16,16,8,0.836,10,0.014,8,0.703,6,0.185,6.548,4.514,1.45059813912273
"12",13,17,17,1,0.922,9,0.062,1,0.563,6,0.056,0.364,0.227,1.60352422907489
"13",14,18,18,7,0.584,9,0.015,7,0.658,8,0.027,3.953,4.39,0.900455580865604
"14",15,19,19,5,0.804,5,0.064,5,0.889,3,0.163,3.7,3.956,0.935288169868554
"15",16,22,22,10,0.642,1,0.213,10,0.902,8,0.042,6.207,8.684,0.714762782128052
"16",17,23,23,7,0.828,5,0.033,7,0.81,2,0.104,5.631,5.462,1.03094104723544
"17",18,26,26,8,0.645,2,0.215,8,0.8,1,0.188,4.73,6.212,0.761429491307147
"18",19,27,27,5,0.517,7,0.085,5,0.835,9,0.072,1.99,3.527,0.564218882903317
"19",20,28,28,8,0.9,10,0.012,8,0.786,3,0.181,7.08,5.745,1.23237597911227
"20",21,29,29,7,0.676,4,0.058,7,0.571,1,0.218,4.5,3.779,1.19079121460704
"21",22,31,31,5,0.769,4,0.091,5,0.681,6,0.219,3.481,2.091,1.66475370636059
"22",23,32,32,5,0.86,2,0.132,5,0.782,10,0.014,4.036,3.77,1.07055702917772
"23",24,34,34,7,0.596,6,0.145,7,0.944,7,0.135,3.302,5.663,0.583083171463888
"24",25,35,35,3,0.575,10,0.014,3,0.724,5,0.183,1.585,1.257,1.26093874303898
"25",26,36,36,4,0.791,10,0.019,4,0.631,9,0.019,2.974,2.353,1.26391840203995
"26",27,39,39,9,0.752,3,0.146,9,0.624,8,0.037,6.33,5.32,1.18984962406015
"27",28,42,42,10,0.561,2,0.199,10,0.824,4,0.151,5.212,7.636,0.682556312205343
"28",29,43,43,4,0.767,7,0.03,4,0.871,7,0.117,2.858,2.665,1.07242026266417
"29",30,44,44,2,0.766,4,0.083,2,0.635,3,0.136,1.2,0.862,1.39211136890951
"30",31,45,45,7,0.609,1,0.164,7,0.691,2,0.081,4.099,4.675,0.876791443850267
"31",32,48,48,4,0.754,8,0.088,4,0.833,4,0.235,2.312,2.392,0.966555183946488
"32",33,53,53,7,0.713,10,0.01,7,0.763,9,0.041,4.891,4.972,0.983708769106999
"33",34,54,54,8,0.659,1,0.227,8,0.594,6,0.134,5.045,3.948,1.27786220871327
"34",35,56,56,6,0.77,9,0.016,6,0.62,6,0.091,4.476,3.174,1.41020793950851
"35",36,57,57,3,0.645,5,0.137,3,0.677,7,0.017,1.25,1.912,0.653765690376569
"36",37,59,59,8,0.569,4,0.16,8,0.795,10,0.071,3.912,5.65,0.692389380530973
"37",38,60,60,8,0.566,7,0.06,8,0.766,4,0.192,4.108,5.36,0.766417910447761
"38",39,61,61,3,0.86,8,0.104,3,0.659,3,0.138,1.748,1.563,1.11836212412028
"39",40,65,65,9,0.571,1,0.261,9,0.514,10,0.014,4.878,4.486,1.08738296923763
"40",41,67,67,8,0.711,7,0.145,8,0.536,1,0.139,4.673,4.149,1.12629549288985
"41",42,68,68,4,0.845,1,0.162,4,0.869,6,0.068,3.218,3.068,1.04889178617992
"42",43,70,70,6,0.556,10,0.029,6,0.715,7,0.105,3.046,3.555,0.856821378340366
"43",44,71,71,9,0.606,7,0.036,9,0.577,3,0.105,5.202,4.878,1.06642066420664
"44",45,73,73,7,0.703,2,0.162,7,0.756,5,0.103,4.597,4.777,0.962319447351894
"45",46,74,74,2,0.693,7,0.031,2,0.708,2,0.18,1.169,1.056,1.10700757575758
"46",47,76,76,8,0.794,5,0.2,8,0.837,10,0.018,5.352,6.516,0.821362799263352
"47",48,77,77,9,0.741,10,0.02,9,0.571,1,0.198,6.469,4.941,1.30924913985023
"48",49,79,79,6,0.733,3,0.167,6,0.799,9,0.038,3.897,4.452,0.875336927223719
"49",50,80,80,1,0.812,6,0.037,1,0.817,2,0.199,0.59,0.419,1.40811455847255
"50",51,81,81,2,0.626,1,0.205,2,0.571,8,0.027,1.047,0.926,1.13066954643629
"51",52,83,83,3,0.742,9,0.052,3,0.688,5,0.112,1.758,1.504,1.1688829787234
"52",53,84,84,3,0.595,2,0.187,3,0.669,6,0.065,1.411,1.617,0.872603586889301
"53",54,85,85,10,0.668,3,0.153,10,0.846,6,0.082,6.221,7.968,0.780747991967872
"54",55,86,86,1,0.716,6,0.074,1,0.676,1,0.176,0.272,0.5,0.544
"55",56,90,90,4,0.832,5,0.118,4,0.903,1,0.193,2.738,3.419,0.800818952910208
"56",57,92,92,8,0.793,10,0.013,8,0.637,5,0.089,6.214,4.651,1.33605676198667
"57",58,95,95,3,0.604,9,0.043,3,0.514,7,0.071,1.425,1.045,1.36363636363636
"58",59,96,96,10,0.703,5,0.066,10,0.597,2,0.158,6.7,5.654,1.18500176865936
"59",60,99,99,7,0.596,5,0.137,7,0.736,9,0.075,3.487,4.477,0.778869778869779
"60",61,100,100,2,0.761,1,0.276,2,0.716,10,0.056,1.246,0.872,1.42889908256881
